subject_id,arm,test_fold,cohort,dice_femur,assd_mm_femur,hd95_mm_femur,empty_prediction_femur,false_bridge_femur,dice_tibia,assd_mm_tibia,hd95_mm_tibia,empty_prediction_tibia,false_bridge_tibia,dice_patella,assd_mm_patella,hd95_mm_patella,empty_prediction_patella,false_bridge_patella,dice_fibula,assd_mm_fibula,hd95_mm_fibula,empty_prediction_fibula,false_bridge_fibula,dice_macro,assd_mm_macro
VSD_010,residual_relu_style,3,healthy,0.70716086470145,5.5547115747173965,13.630546546414713,0.0,0.0,0.7039488496498107,5.741846542067612,13.464032161692103,0.0,0.0,0.4406623099397699,6.868880330867697,15.515403391638145,0.0,0.0,0.29496845905667973,9.750589313736388,22.023964020371757,0.0,0.0,0.5366851208369277,6.979006940347273
VSD_010,residual_vnet_style,3,healthy,0.660520907512745,6.818941160379136,15.697480342070929,0.0,0.0,0.6952105840375613,5.93728570831499,12.901467334890604,0.0,0.0,0.40368023626290944,7.746920760571758,17.262715037457355,0.0,0.0,0.26042283774866193,11.893523097885847,24.37107602519747,0.0,0.0,0.5049586413904694,8.099167681787932
VSD_014,plain_prelu_style,3,healthy,0.5736965184423486,9.20332627008675,19.148368739920517,0.0,0.0,0.5688971166214487,8.939578680700198,17.471726966956773,0.0,0.0,0.350886278460979,9.402598876196578,21.475582515720074,0.0,0.0,0.08252394154936896,26.16503652222742,61.25629165791331,0.0,0.0,0.3940009637685363,13.427635087302736
VSD_014,plain_unet_style,3,healthy,0.5768232630772707,9.156146791434649,18.711304024980947,0.0,0.0,0.5791358420825338,8.706524942831873,17.22346615438503,0.0,0.0,0.3450416775548495,9.493101255286806,20.368743089059027,0.0,0.0,0.07308209246478786,27.677753194898493,62.668924619841604,0.0,0.0,0.3935207187948604,13.758381546112954
VSD_014,residual_relu_style,3,healthy,0.6453585619021083,6.957687850769164,15.566283627106408,0.0,0.0,0.657961432185,6.377211963603442,12.754593483647527,0.0,0.0,0.4695118468995353,6.490828184183216,15.177666228299891,0.0,0.0,0.1612114904729621,14.333086299884823,23.698366285901276,0.0,0.0,0.48351083286490143,8.539703574610161
VSD_014,residual_vnet_style,3,healthy,0.6000765895194604,8.26740751707955,17.943012530789886,0.0,0.0,0.6584597320410441,6.358773527856316,12.926980400160778,0.0,0.0,0.4164884351062797,7.617077710626521,16.751705555755375,0.0,0.0,0.14359384690834592,15.934559026424452,37.64503800305506,0.0,0.0,0.4546546508937825,9.544454445496712
VSD_015,plain_prelu_style,2,healthy,0.7400116343269403,6.052504039075714,14.866433437981108,0.0,0.0,0.7376603262061255,5.805158090533491,16.017303204144003,0.0,0.0,0.3520798585412348,10.086467105490865,21.206165608095446,0.0,0.0,0.1461389833038656,19.770311205890657,41.727263001014066,0.0,0.0,0.49397270059454157,10.428610110247682
VSD_015,plain_unet_style,2,healthy,0.7427900357560127,5.891017032976713,14.911234579661706,0.0,0.0,0.7436463550153162,5.700892985284493,15.333755802403392,0.0,0.0,0.3675106518485055,9.59177634701859,19.722667654824473,0.0,0.0,0.1447603481872075,20.268961274630037,43.0895781430755,0.0,0.0,0.4996768477017604,10.363161909977457
VSD_015,residual_relu_style,2,healthy,0.7386362647231355,5.843311565967888,14.48786614191366,0.0,0.0,0.8015355159869266,4.08550211664003,10.970071038589913,0.0,0.0,0.45665354534928804,7.232047975927598,15.8837722585221,0.0,0.0,0.3045829099961254,9.745288889313047,22.89414332720638,0.0,0.0,0.575352059013869,6.72653763696214
VSD_015,residual_vnet_style,2,healthy,0.7308002909811803,6.055629835759648,15.0824594845988,0.0,0.0,0.7891082931221743,4.332944716349408,11.328125,0.0,0.0,0.4270235703644555,7.798530534629297,16.546882116632922,0.0,0.0,0.3080273964161345,9.559570928713114,22.300786027162015,0.0,0.0,0.5637398877209863,6.936669003862866
